onset	duration	item	rotation	accuracy	reaction_time	stim_file
10.0192	1	C4	0	n/a	n/a	sub-17_stim-commstruc_C4.jpg
12.0583	1	C1	90	0	0.016486	sub-17_stim-commstruc_C1.jpg
18.0957	1	C4	0	1	1.2524	sub-17_stim-commstruc_C4.jpg
24.1332	1	C1	0	1	1.1673	sub-17_stim-commstruc_C1.jpg
26.1723	1	C4	0	1	0.83038	sub-17_stim-commstruc_C4.jpg
30.2106	1	C5	90	1	1.1389	sub-17_stim-commstruc_C5.jpg
36.248	1	C4	0	1	1.131	sub-17_stim-commstruc_C4.jpg
38.2871	1	C1	0	1	0.91095	sub-17_stim-commstruc_C1.jpg
44.3246	1	C2	0	1	1.184	sub-17_stim-commstruc_C2.jpg
46.3637	1	C4	0	1	1.3049	sub-17_stim-commstruc_C4.jpg
48.4028	1	C5	0	1	0.99351	sub-17_stim-commstruc_C5.jpg
50.442	1	C3	0	1	1.4324	sub-17_stim-commstruc_C3.jpg
52.4811	1	C4	0	1	0.8761	sub-17_stim-commstruc_C4.jpg
54.5202	1	C5	0	1	0.96555	sub-17_stim-commstruc_C5.jpg
56.5594	1	A1	0	1	1.4751	sub-17_stim-commstruc_A1.jpg
62.5968	1	A2	90	1	1.462	sub-17_stim-commstruc_A2.jpg
64.6359	1	A3	0	1	0.8001	sub-17_stim-commstruc_A3.jpg
66.675	1	A4	0	1	0.873	sub-17_stim-commstruc_A4.jpg
72.7125	1	A5	0	1	0.86819	sub-17_stim-commstruc_A5.jpg
78.7499	1	B1	90	1	1.6783	sub-17_stim-commstruc_B1.jpg
84.7873	1	B2	0	1	1.2555	sub-17_stim-commstruc_B2.jpg
86.8265	1	B3	0	n/a	n/a	sub-17_stim-commstruc_B3.jpg
88.8656	1	B4	0	1	0.98693	sub-17_stim-commstruc_B4.jpg
90.9047	1	B5	90	1	1.1175	sub-17_stim-commstruc_B5.jpg
94.943	1	C1	0	1	0.8208	sub-17_stim-commstruc_C1.jpg
98.9813	1	C2	0	1	0.75856	sub-17_stim-commstruc_C2.jpg
101.0204	1	C3	0	1	0.80848	sub-17_stim-commstruc_C3.jpg
105.0587	1	C4	0	n/a	n/a	sub-17_stim-commstruc_C4.jpg
107.0978	1	C5	90	1	1.1558	sub-17_stim-commstruc_C5.jpg
111.1361	1	A1	0	1	2.0766	sub-17_stim-commstruc_A1.jpg
115.1744	1	C5	0	1	1.4846	sub-17_stim-commstruc_C5.jpg
117.2135	1	C3	0	1	1.0294	sub-17_stim-commstruc_C3.jpg
121.2518	1	C4	0	1	0.9202	sub-17_stim-commstruc_C4.jpg
123.2909	1	C1	90	1	1.0294	sub-17_stim-commstruc_C1.jpg
129.3283	1	B5	0	1	1.3702	sub-17_stim-commstruc_B5.jpg
