onset	duration	item	rotation	accuracy	reaction_time	stim_file
10.0204	1	A3	0	1	0.87451	sub-20_stim-commstruc_A3.jpg
14.0587	1	A5	0	1	0.69836	sub-20_stim-commstruc_A5.jpg
20.0962	1	A3	0	1	0.66129	sub-20_stim-commstruc_A3.jpg
22.1353	1	A1	0	1	0.97513	sub-20_stim-commstruc_A1.jpg
24.1744	1	A2	0	1	0.72824	sub-20_stim-commstruc_A2.jpg
28.2127	1	A1	0	1	0.61696	sub-20_stim-commstruc_A1.jpg
32.251	1	C5	0	1	0.55504	sub-20_stim-commstruc_C5.jpg
38.2884	1	C4	0	1	0.71803	sub-20_stim-commstruc_C4.jpg
42.3267	1	C3	0	1	0.8246	sub-20_stim-commstruc_C3.jpg
44.3658	1	C2	0	1	0.85631	sub-20_stim-commstruc_C2.jpg
50.4032	1	C1	0	1	0.82078	sub-20_stim-commstruc_C1.jpg
52.4424	1	B5	0	1	0.96444	sub-20_stim-commstruc_B5.jpg
56.4807	1	B4	0	1	0.67805	sub-20_stim-commstruc_B4.jpg
62.5181	1	B3	90	0	0.7453	sub-20_stim-commstruc_B3.jpg
66.5564	1	B2	0	1	0.78544	sub-20_stim-commstruc_B2.jpg
68.5955	1	B1	0	1	0.98712	sub-20_stim-commstruc_B1.jpg
74.6329	1	A5	90	1	0.9516	sub-20_stim-commstruc_A5.jpg
78.6712	1	A4	0	1	1.1924	sub-20_stim-commstruc_A4.jpg
84.7086	1	A3	0	1	0.76913	sub-20_stim-commstruc_A3.jpg
86.7478	1	A2	0	1	0.94003	sub-20_stim-commstruc_A2.jpg
90.786	1	A1	90	1	1.0293	sub-20_stim-commstruc_A1.jpg
96.8235	1	A4	0	1	0.74451	sub-20_stim-commstruc_A4.jpg
100.8617	1	A3	90	1	0.80795	sub-20_stim-commstruc_A3.jpg
104.9	1	A2	0	1	0.65814	sub-20_stim-commstruc_A2.jpg
106.9392	1	A3	0	1	0.9077	sub-20_stim-commstruc_A3.jpg
