onset	duration	item	rotation	accuracy	reaction_time	stim_file
10.0195	1	B3	90	0	1.5693	sub-20_stim-commstruc_B3.jpg
14.0578	1	B2	0	1	1.0293	sub-20_stim-commstruc_B2.jpg
18.0961	1	B1	0	1	0.72494	sub-20_stim-commstruc_B1.jpg
22.1343	1	A5	90	0	0.66265	sub-20_stim-commstruc_A5.jpg
26.1726	1	A4	0	1	0.81875	sub-20_stim-commstruc_A4.jpg
28.2117	1	A3	0	1	0.85677	sub-20_stim-commstruc_A3.jpg
30.2509	1	A2	0	1	0.69196	sub-20_stim-commstruc_A2.jpg
32.29	1	A1	0	1	0.66844	sub-20_stim-commstruc_A1.jpg
36.3283	1	C5	0	1	0.67628	sub-20_stim-commstruc_C5.jpg
42.3657	1	C4	0	1	0.64062	sub-20_stim-commstruc_C4.jpg
46.404	1	C2	0	1	1.0333	sub-20_stim-commstruc_C2.jpg
50.4423	1	C4	0	1	0.63512	sub-20_stim-commstruc_C4.jpg
52.4814	1	C2	0	1	0.62952	sub-20_stim-commstruc_C2.jpg
58.5188	1	C1	0	1	0.58335	sub-20_stim-commstruc_C1.jpg
60.558	1	C3	0	1	0.61561	sub-20_stim-commstruc_C3.jpg
64.5962	1	C1	0	1	0.62532	sub-20_stim-commstruc_C1.jpg
68.6345	1	B5	0	1	0.78091	sub-20_stim-commstruc_B5.jpg
70.6736	1	B2	0	1	0.96278	sub-20_stim-commstruc_B2.jpg
76.7111	1	B1	0	1	0.86163	sub-20_stim-commstruc_B1.jpg
80.7494	1	B2	0	1	0.69594	sub-20_stim-commstruc_B2.jpg
84.7876	1	B3	0	1	0.69194	sub-20_stim-commstruc_B3.jpg
88.8259	1	B5	90	1	0.99455	sub-20_stim-commstruc_B5.jpg
90.865	1	B4	0	1	0.82929	sub-20_stim-commstruc_B4.jpg
92.9042	1	B2	0	1	0.90045	sub-20_stim-commstruc_B2.jpg
94.9433	1	B1	0	1	0.77444	sub-20_stim-commstruc_B1.jpg
100.9807	1	A5	0	1	0.80063	sub-20_stim-commstruc_A5.jpg
103.0199	1	A4	0	1	0.92222	sub-20_stim-commstruc_A4.jpg
107.0581	1	A3	0	1	0.79486	sub-20_stim-commstruc_A3.jpg
109.0973	1	A2	0	1	0.92563	sub-20_stim-commstruc_A2.jpg
111.1364	1	A1	90	1	1.1	sub-20_stim-commstruc_A1.jpg
117.1738	1	C5	0	1	0.75242	sub-20_stim-commstruc_C5.jpg
123.2113	1	C4	90	1	1.1394	sub-20_stim-commstruc_C4.jpg
129.2487	1	C3	90	1	1.1001	sub-20_stim-commstruc_C3.jpg
133.287	1	C2	0	1	1.0292	sub-20_stim-commstruc_C2.jpg
139.3244	1	C1	0	1	0.65775	sub-20_stim-commstruc_C1.jpg
141.3635	1	B5	0	1	0.93249	sub-20_stim-commstruc_B5.jpg
147.401	1	B4	90	1	0.97326	sub-20_stim-commstruc_B4.jpg
153.4384	1	B3	0	1	0.84029	sub-20_stim-commstruc_B3.jpg
159.4758	1	B2	0	1	0.87488	sub-20_stim-commstruc_B2.jpg
163.5141	1	B1	0	0	0.94966	sub-20_stim-commstruc_B1.jpg
165.5532	1	B3	0	1	0.88377	sub-20_stim-commstruc_B3.jpg
171.5907	1	B2	0	1	0.84925	sub-20_stim-commstruc_B2.jpg
177.6281	1	B4	0	1	0.74507	sub-20_stim-commstruc_B4.jpg
179.6672	1	B5	0	1	0.962	sub-20_stim-commstruc_B5.jpg
185.7046	1	B2	0	1	0.84621	sub-20_stim-commstruc_B2.jpg
189.7429	1	B5	0	1	0.70326	sub-20_stim-commstruc_B5.jpg
193.7812	1	C1	90	1	0.97548	sub-20_stim-commstruc_C1.jpg
195.8203	1	C2	0	1	1.0292	sub-20_stim-commstruc_C2.jpg
201.8578	1	C4	0	1	0.72515	sub-20_stim-commstruc_C4.jpg
203.8969	1	C5	0	1	0.83565	sub-20_stim-commstruc_C5.jpg
207.9352	1	A1	0	1	0.77519	sub-20_stim-commstruc_A1.jpg
211.9734	1	C5	0	1	0.88264	sub-20_stim-commstruc_C5.jpg
216.0117	1	C4	0	1	0.63372	sub-20_stim-commstruc_C4.jpg
222.0492	1	C3	0	1	0.74284	sub-20_stim-commstruc_C3.jpg
224.0883	1	C1	90	1	0.87754	sub-20_stim-commstruc_C1.jpg
226.1274	1	C2	0	1	0.92561	sub-20_stim-commstruc_C2.jpg
