onset	duration	item	rotation	accuracy	reaction_time	stim_file
10.0222	1	B5	0	1	1.2216	sub-16_stim-commstruc_B5.jpg
14.0605	1	B2	0	1	0.89632	sub-16_stim-commstruc_B2.jpg
16.0996	1	B1	0	1	0.85508	sub-16_stim-commstruc_B1.jpg
18.1388	1	A5	0	1	0.88075	sub-16_stim-commstruc_A5.jpg
20.1779	1	A3	0	1	0.78481	sub-16_stim-commstruc_A3.jpg
22.217	1	A2	0	1	0.80946	sub-16_stim-commstruc_A2.jpg
28.2545	1	A1	0	1	0.90237	sub-16_stim-commstruc_A1.jpg
30.2936	1	C5	0	1	0.71769	sub-16_stim-commstruc_C5.jpg
36.331	1	C4	0	1	0.89619	sub-16_stim-commstruc_C4.jpg
42.3685	1	C3	0	1	0.95669	sub-16_stim-commstruc_C3.jpg
46.4067	1	C2	0	1	0.81237	sub-16_stim-commstruc_C2.jpg
50.445	1	C1	0	1	0.92753	sub-16_stim-commstruc_C1.jpg
52.4841	1	B5	0	1	0.78981	sub-16_stim-commstruc_B5.jpg
58.5216	1	B4	0	1	0.8189	sub-16_stim-commstruc_B4.jpg
62.5598	1	B3	0	1	0.73329	sub-16_stim-commstruc_B3.jpg
64.599	1	B2	0	1	0.66802	sub-16_stim-commstruc_B2.jpg
70.6364	1	B1	0	1	0.86942	sub-16_stim-commstruc_B1.jpg
76.6738	1	A5	0	1	0.87301	sub-16_stim-commstruc_A5.jpg
80.7121	1	A4	0	1	0.77305	sub-16_stim-commstruc_A4.jpg
82.7513	1	A3	0	1	0.94814	sub-16_stim-commstruc_A3.jpg
86.7895	1	A1	0	1	1.2301	sub-16_stim-commstruc_A1.jpg
92.827	1	C5	0	1	0.78553	sub-16_stim-commstruc_C5.jpg
94.8661	1	C2	0	1	1.0713	sub-16_stim-commstruc_C2.jpg
96.9052	1	C1	0	1	0.75269	sub-16_stim-commstruc_C1.jpg
102.9426	1	B5	0	1	0.94088	sub-16_stim-commstruc_B5.jpg
106.9809	1	C1	90	1	1.3895	sub-16_stim-commstruc_C1.jpg
113.0183	1	C3	0	1	0.952	sub-16_stim-commstruc_C3.jpg
119.269	1	C5	0	1	0.7516	sub-16_stim-commstruc_C5.jpg
125.3065	1	C3	0	1	0.81912	sub-16_stim-commstruc_C3.jpg
129.3447	1	C4	0	1	0.69752	sub-16_stim-commstruc_C4.jpg
135.3822	1	C5	90	1	0.89376	sub-16_stim-commstruc_C5.jpg
137.4213	1	C3	0	1	1.0881	sub-16_stim-commstruc_C3.jpg
141.4596	1	C1	0	1	1.3186	sub-16_stim-commstruc_C1.jpg
143.4987	1	B5	0	1	0.77613	sub-16_stim-commstruc_B5.jpg
145.5378	1	B4	0	1	0.85106	sub-16_stim-commstruc_B4.jpg
151.5753	1	B3	0	1	0.71701	sub-16_stim-commstruc_B3.jpg
153.6144	1	B2	0	1	0.6359	sub-16_stim-commstruc_B2.jpg
157.6527	1	B1	0	1	0.7737	sub-16_stim-commstruc_B1.jpg
159.6918	1	A5	0	1	0.903	sub-16_stim-commstruc_A5.jpg
161.7309	1	A4	0	1	0.68889	sub-16_stim-commstruc_A4.jpg
165.7692	1	A3	90	1	0.97045	sub-16_stim-commstruc_A3.jpg
169.8075	1	A2	0	1	0.70669	sub-16_stim-commstruc_A2.jpg
175.8449	1	A1	0	1	1.3514	sub-16_stim-commstruc_A1.jpg
181.8824	1	C5	0	1	0.80878	sub-16_stim-commstruc_C5.jpg
183.9215	1	C4	0	1	0.97786	sub-16_stim-commstruc_C4.jpg
187.9598	1	C3	0	1	0.86182	sub-16_stim-commstruc_C3.jpg
189.9989	1	C2	0	1	0.79784	sub-16_stim-commstruc_C2.jpg
196.0363	1	C1	0	1	0.98185	sub-16_stim-commstruc_C1.jpg
200.0746	1	B5	0	1	1.0297	sub-16_stim-commstruc_B5.jpg
202.1137	1	B4	0	1	0.98591	sub-16_stim-commstruc_B4.jpg
206.152	1	B3	0	1	0.84294	sub-16_stim-commstruc_B3.jpg
212.1894	1	B2	0	1	0.6942	sub-16_stim-commstruc_B2.jpg
216.2277	1	B5	0	1	0.97751	sub-16_stim-commstruc_B5.jpg
220.266	1	C1	0	1	0.97862	sub-16_stim-commstruc_C1.jpg
224.3043	1	C3	90	1	1.4825	sub-16_stim-commstruc_C3.jpg
228.3426	1	C2	0	1	0.88637	sub-16_stim-commstruc_C2.jpg
230.3817	1	C1	0	1	1.1092	sub-16_stim-commstruc_C1.jpg
232.4208	1	C2	0	1	1.0295	sub-16_stim-commstruc_C2.jpg
234.4599	1	C4	0	1	0.84022	sub-16_stim-commstruc_C4.jpg
236.4991	1	C3	0	1	1.0294	sub-16_stim-commstruc_C3.jpg
240.5374	1	C4	0	1	0.77152	sub-16_stim-commstruc_C4.jpg
246.5748	1	C5	0	1	1.1467	sub-16_stim-commstruc_C5.jpg
250.6131	1	C4	0	1	0.91018	sub-16_stim-commstruc_C4.jpg
254.6514	1	C1	0	1	0.92844	sub-16_stim-commstruc_C1.jpg
258.6896	1	B5	0	1	0.65847	sub-16_stim-commstruc_B5.jpg
260.7288	1	B4	0	1	1.0968	sub-16_stim-commstruc_B4.jpg
264.767	1	B3	90	1	1.3397	sub-16_stim-commstruc_B3.jpg
268.8053	1	B2	0	1	1.1261	sub-16_stim-commstruc_B2.jpg
272.8436	1	B1	0	1	0.76802	sub-16_stim-commstruc_B1.jpg
274.8827	1	A5	0	1	0.85585	sub-16_stim-commstruc_A5.jpg
280.9202	1	A4	0	1	0.82588	sub-16_stim-commstruc_A4.jpg
286.9576	1	A3	0	1	0.86837	sub-16_stim-commstruc_A3.jpg
290.9959	1	A2	0	1	0.7998	sub-16_stim-commstruc_A2.jpg
295.0341	1	A1	90	1	1.5295	sub-16_stim-commstruc_A1.jpg
299.0724	1	C5	0	1	0.77914	sub-16_stim-commstruc_C5.jpg
301.1116	1	C4	90	1	1.3061	sub-16_stim-commstruc_C4.jpg
303.1507	1	C3	0	1	0.93187	sub-16_stim-commstruc_C3.jpg
307.189	1	C2	0	1	0.98375	sub-16_stim-commstruc_C2.jpg
313.2264	1	C1	90	1	1.1049	sub-16_stim-commstruc_C1.jpg
315.2655	1	B5	0	1	1.3525	sub-16_stim-commstruc_B5.jpg
321.3029	1	B4	90	1	1.3019	sub-16_stim-commstruc_B4.jpg
325.3412	1	B2	0	1	0.79683	sub-16_stim-commstruc_B2.jpg
329.3795	1	B1	0	1	0.88974	sub-16_stim-commstruc_B1.jpg
331.4186	1	B3	0	1	1.2014	sub-16_stim-commstruc_B3.jpg
337.4561	1	B5	0	1	1.1388	sub-16_stim-commstruc_B5.jpg
341.4943	1	C1	0	1	0.85463	sub-16_stim-commstruc_C1.jpg
343.5335	1	C2	0	1	1.0924	sub-16_stim-commstruc_C2.jpg
345.5726	1	C3	0	1	0.92864	sub-16_stim-commstruc_C3.jpg
349.6109	1	C4	90	1	1.3062	sub-16_stim-commstruc_C4.jpg
353.6492	1	C2	0	1	0.88411	sub-16_stim-commstruc_C2.jpg
355.6883	1	C4	0	1	0.87505	sub-16_stim-commstruc_C4.jpg
357.7274	1	C5	0	1	0.78181	sub-16_stim-commstruc_C5.jpg
359.7666	1	C4	0	1	1.2774	sub-16_stim-commstruc_C4.jpg
365.804	1	C5	90	1	1.2314	sub-16_stim-commstruc_C5.jpg
369.8423	1	A1	0	1	1.0965	sub-16_stim-commstruc_A1.jpg
373.8806	1	A2	0	1	0.98849	sub-16_stim-commstruc_A2.jpg
375.9197	1	A3	90	1	1.0421	sub-16_stim-commstruc_A3.jpg
377.9588	1	A4	0	1	0.91571	sub-16_stim-commstruc_A4.jpg
379.9979	1	A5	0	1	0.85268	sub-16_stim-commstruc_A5.jpg
382.0371	1	B1	90	1	1.1007	sub-16_stim-commstruc_B1.jpg
386.0754	1	B2	0	1	1.0713	sub-16_stim-commstruc_B2.jpg
388.1145	1	B3	0	1	0.91996	sub-16_stim-commstruc_B3.jpg
394.1519	1	B4	0	1	1.6929	sub-16_stim-commstruc_B4.jpg
400.1894	1	B5	0	1	0.92664	sub-16_stim-commstruc_B5.jpg
404.2276	1	C1	90	1	1.6327	sub-16_stim-commstruc_C1.jpg
408.2659	1	C2	0	1	1.0672	sub-16_stim-commstruc_C2.jpg
412.3042	1	C3	0	1	0.93292	sub-16_stim-commstruc_C3.jpg
414.3433	1	C4	0	1	0.82847	sub-16_stim-commstruc_C4.jpg
416.3824	1	C5	0	1	0.71008	sub-16_stim-commstruc_C5.jpg
418.4216	1	A1	90	0	1.0295	sub-16_stim-commstruc_A1.jpg
422.4599	1	A2	0	1	0.92055	sub-16_stim-commstruc_A2.jpg
426.4981	1	A5	0	1	0.891	sub-16_stim-commstruc_A5.jpg
428.5373	1	A4	0	1	0.74714	sub-16_stim-commstruc_A4.jpg
430.5764	1	A5	90	1	1.059	sub-16_stim-commstruc_A5.jpg
432.6155	1	A3	90	1	1.0676	sub-16_stim-commstruc_A3.jpg
438.653	1	A4	0	1	0.8135	sub-16_stim-commstruc_A4.jpg
442.6912	1	A3	0	1	0.8235	sub-16_stim-commstruc_A3.jpg
448.7287	1	A2	0	1	0.85865	sub-16_stim-commstruc_A2.jpg
450.7678	1	A3	0	1	0.83603	sub-16_stim-commstruc_A3.jpg
456.8052	1	A1	0	n/a	n/a	sub-16_stim-commstruc_A1.jpg
458.8444	1	A4	0	1	0.1094	sub-16_stim-commstruc_A4.jpg
464.8818	1	A5	0	1	1.2013	sub-16_stim-commstruc_A5.jpg
470.9192	1	A4	90	1	1.2185	sub-16_stim-commstruc_A4.jpg
472.9583	1	A3	0	1	0.99623	sub-16_stim-commstruc_A3.jpg
476.9966	1	A4	0	1	0.88608	sub-16_stim-commstruc_A4.jpg
481.0349	1	A3	0	1	0.74342	sub-16_stim-commstruc_A3.jpg
483.074	1	A2	0	1	1.2894	sub-16_stim-commstruc_A2.jpg
487.1123	1	A1	0	1	0.96492	sub-16_stim-commstruc_A1.jpg
489.1514	1	C5	0	1	0.85445	sub-16_stim-commstruc_C5.jpg
491.1906	1	C4	0	1	0.84464	sub-16_stim-commstruc_C4.jpg
493.2297	1	C3	0	1	0.87025	sub-16_stim-commstruc_C3.jpg
499.2671	1	C2	0	1	1.0715	sub-16_stim-commstruc_C2.jpg
503.3054	1	C1	0	1	0.93818	sub-16_stim-commstruc_C1.jpg
505.3446	1	B5	0	1	1.1805	sub-16_stim-commstruc_B5.jpg
509.3828	1	B4	0	1	0.78231	sub-16_stim-commstruc_B4.jpg
511.422	1	B3	0	1	0.74309	sub-16_stim-commstruc_B3.jpg
517.4594	1	B2	0	1	0.80017	sub-16_stim-commstruc_B2.jpg
521.4977	1	B1	90	1	1.0799	sub-16_stim-commstruc_B1.jpg
525.5359	1	A5	0	1	0.96272	sub-16_stim-commstruc_A5.jpg
531.5734	1	A4	0	1	1.1428	sub-16_stim-commstruc_A4.jpg
535.6117	1	A3	0	1	1.0463	sub-16_stim-commstruc_A3.jpg
537.6508	1	A5	0	1	0.7285	sub-16_stim-commstruc_A5.jpg
541.6891	1	A3	0	1	0.8099	sub-16_stim-commstruc_A3.jpg
545.7274	1	A4	0	1	0.82957	sub-16_stim-commstruc_A4.jpg
547.7665	1	A2	0	1	0.69294	sub-16_stim-commstruc_A2.jpg
553.8039	1	A3	0	1	0.87333	sub-16_stim-commstruc_A3.jpg
557.8422	1	A5	0	1	0.82431	sub-16_stim-commstruc_A5.jpg
559.8813	1	B1	0	1	1.4027	sub-16_stim-commstruc_B1.jpg
565.9187	1	B4	0	1	0.90889	sub-16_stim-commstruc_B4.jpg
567.9579	1	B1	0	1	0.84704	sub-16_stim-commstruc_B1.jpg
571.9962	1	B2	0	1	0.76133	sub-16_stim-commstruc_B2.jpg
574.0353	1	B4	0	1	0.77782	sub-16_stim-commstruc_B4.jpg
578.0736	1	B1	0	1	0.80104	sub-16_stim-commstruc_B1.jpg
584.111	1	B3	0	1	0.95839	sub-16_stim-commstruc_B3.jpg
590.1484	1	B1	0	1	0.81494	sub-16_stim-commstruc_B1.jpg
596.1859	1	B2	0	1	1.1052	sub-16_stim-commstruc_B2.jpg
602.2233	1	B3	0	1	0.74843	sub-16_stim-commstruc_B3.jpg
606.2616	1	B4	90	1	1.1176	sub-16_stim-commstruc_B4.jpg
608.3007	1	B5	0	1	0.85524	sub-16_stim-commstruc_B5.jpg
612.339	1	C1	0	1	1.2399	sub-16_stim-commstruc_C1.jpg
