onset	duration	item	rotation	accuracy	reaction_time	stim_file
10.0377	1	B3	0	n/a	n/a	sub-20_stim-commstruc_B3.jpg
12.0769	1	B5	0	1	0.81366	sub-20_stim-commstruc_B5.jpg
18.1143	1	C1	0	1	1.1072	sub-20_stim-commstruc_C1.jpg
20.1534	1	C2	0	1	0.77188	sub-20_stim-commstruc_C2.jpg
22.1925	1	C3	0	1	0.7405	sub-20_stim-commstruc_C3.jpg
28.23	1	C4	0	1	0.85424	sub-20_stim-commstruc_C4.jpg
30.2691	1	C3	0	1	0.79161	sub-20_stim-commstruc_C3.jpg
34.3074	1	C1	90	1	0.89616	sub-20_stim-commstruc_C1.jpg
40.3448	1	B5	0	1	0.90888	sub-20_stim-commstruc_B5.jpg
46.3822	1	B2	90	0	1.0372	sub-20_stim-commstruc_B2.jpg
52.4197	1	B5	0	1	0.80701	sub-20_stim-commstruc_B5.jpg
58.4571	1	C1	0	1	0.88145	sub-20_stim-commstruc_C1.jpg
60.4962	1	B5	0	1	0.8103	sub-20_stim-commstruc_B5.jpg
62.5353	1	B3	0	1	0.89161	sub-20_stim-commstruc_B3.jpg
66.5736	1	B1	0	1	1.1193	sub-20_stim-commstruc_B1.jpg
68.6128	1	A5	0	1	1.1664	sub-20_stim-commstruc_A5.jpg
70.6519	1	A4	0	1	1.088	sub-20_stim-commstruc_A4.jpg
74.6902	1	A3	90	1	1.0293	sub-20_stim-commstruc_A3.jpg
80.7276	1	A2	0	1	0.91691	sub-20_stim-commstruc_A2.jpg
82.7667	1	A1	0	1	0.88471	sub-20_stim-commstruc_A1.jpg
86.805	1	C5	0	1	0.92695	sub-20_stim-commstruc_C5.jpg
90.8433	1	C4	0	1	0.94257	sub-20_stim-commstruc_C4.jpg
94.8816	1	C3	0	1	0.98793	sub-20_stim-commstruc_C3.jpg
96.9207	1	C2	0	1	0.95489	sub-20_stim-commstruc_C2.jpg
100.959	1	C1	0	1	0.88662	sub-20_stim-commstruc_C1.jpg
104.9972	1	B5	0	1	0.95064	sub-20_stim-commstruc_B5.jpg
111.0347	1	B4	0	1	0.9468	sub-20_stim-commstruc_B4.jpg
117.0721	1	B3	0	n/a	n/a	sub-20_stim-commstruc_B3.jpg
123.1095	1	B2	90	0	1.0955	sub-20_stim-commstruc_B2.jpg
129.147	1	B1	0	1	0.97534	sub-20_stim-commstruc_B1.jpg
133.1852	1	A5	0	1	0.86658	sub-20_stim-commstruc_A5.jpg
137.2235	1	A4	0	1	0.91429	sub-20_stim-commstruc_A4.jpg
141.2618	1	A2	90	1	1.0449	sub-20_stim-commstruc_A2.jpg
143.3009	1	A1	0	1	0.91926	sub-20_stim-commstruc_A1.jpg
147.3392	1	A4	0	1	0.93737	sub-20_stim-commstruc_A4.jpg
151.3775	1	A1	0	1	0.76315	sub-20_stim-commstruc_A1.jpg
