onset	duration	item	rotation	accuracy	reaction_time	stim_file
10.0156	1	C5	0	1	0.94751	sub-04_stim-commstruc_C5.jpg
16.053	1	C2	0	1	0.60498	sub-04_stim-commstruc_C2.jpg
18.0922	1	C5	0	1	0.63067	sub-04_stim-commstruc_C5.jpg
22.1304	1	C4	0	1	0.55336	sub-04_stim-commstruc_C4.jpg
24.1696	1	C1	0	1	0.7959	sub-04_stim-commstruc_C1.jpg
26.2087	1	C2	0	1	0.73841	sub-04_stim-commstruc_C2.jpg
30.247	1	C3	0	1	0.85191	sub-04_stim-commstruc_C3.jpg
36.2844	1	C4	0	1	0.57656	sub-04_stim-commstruc_C4.jpg
38.3235	1	C5	0	1	0.60102	sub-04_stim-commstruc_C5.jpg
42.3618	1	A1	0	1	0.51301	sub-04_stim-commstruc_A1.jpg
46.4001	1	A2	0	1	0.52429	sub-04_stim-commstruc_A2.jpg
52.4375	1	A3	0	1	0.59654	sub-04_stim-commstruc_A3.jpg
56.4758	1	A4	0	1	0.51978	sub-04_stim-commstruc_A4.jpg
62.5132	1	A5	0	1	0.45657	sub-04_stim-commstruc_A5.jpg
68.5507	1	B1	90	0	0.74705	sub-04_stim-commstruc_B1.jpg
70.5898	1	B2	0	1	0.6698	sub-04_stim-commstruc_B2.jpg
76.6272	1	B3	0	1	0.85008	sub-04_stim-commstruc_B3.jpg
80.6655	1	B4	0	1	0.64168	sub-04_stim-commstruc_B4.jpg
82.7046	1	B5	0	1	0.57728	sub-04_stim-commstruc_B5.jpg
84.7438	1	C1	0	1	0.76241	sub-04_stim-commstruc_C1.jpg
86.7829	1	C3	0	1	0.70193	sub-04_stim-commstruc_C3.jpg
92.8203	1	C1	0	1	0.70959	sub-04_stim-commstruc_C1.jpg
96.8586	1	C4	0	1	1.0293	sub-04_stim-commstruc_C4.jpg
100.8969	1	C1	0	1	0.87432	sub-04_stim-commstruc_C1.jpg
106.9343	1	C3	90	1	1.0293	sub-04_stim-commstruc_C3.jpg
110.9726	1	C2	90	1	0.99824	sub-04_stim-commstruc_C2.jpg
117.01	1	C3	0	1	0.87989	sub-04_stim-commstruc_C3.jpg
119.0491	1	C1	0	1	0.67428	sub-04_stim-commstruc_C1.jpg
123.0874	1	C4	0	1	0.67818	sub-04_stim-commstruc_C4.jpg
