onset	duration	item	rotation	accuracy	reaction_time	stim_file
10.0244	1	C5	0	1	0.77487	sub-04_stim-commstruc_C5.jpg
12.0636	1	A1	0	1	1.0294	sub-04_stim-commstruc_A1.jpg
16.1018	1	A3	0	1	0.69546	sub-04_stim-commstruc_A3.jpg
22.1393	1	A5	0	1	0.77909	sub-04_stim-commstruc_A5.jpg
24.1784	1	A2	0	1	1.1008	sub-04_stim-commstruc_A2.jpg
26.2175	1	A1	0	1	0.70837	sub-04_stim-commstruc_A1.jpg
30.2558	1	C5	0	1	0.61693	sub-04_stim-commstruc_C5.jpg
34.2941	1	C4	0	1	0.59277	sub-04_stim-commstruc_C4.jpg
36.3332	1	C3	90	1	0.907	sub-04_stim-commstruc_C3.jpg
40.3715	1	C2	0	1	0.78766	sub-04_stim-commstruc_C2.jpg
44.4098	1	C1	0	1	0.68452	sub-04_stim-commstruc_C1.jpg
48.448	1	B5	0	1	0.67972	sub-04_stim-commstruc_B5.jpg
50.4872	1	B4	0	1	1.1208	sub-04_stim-commstruc_B4.jpg
56.5246	1	B3	0	1	0.9399	sub-04_stim-commstruc_B3.jpg
58.5637	1	B2	0	1	0.89977	sub-04_stim-commstruc_B2.jpg
60.6029	1	B1	0	1	0.79626	sub-04_stim-commstruc_B1.jpg
62.642	1	A5	90	1	0.87882	sub-04_stim-commstruc_A5.jpg
66.6803	1	A4	0	1	0.64041	sub-04_stim-commstruc_A4.jpg
68.7194	1	A3	0	1	0.66427	sub-04_stim-commstruc_A3.jpg
70.7586	1	A2	0	1	0.58509	sub-04_stim-commstruc_A2.jpg
74.7968	1	A3	0	1	0.68959	sub-04_stim-commstruc_A3.jpg
76.836	1	A4	0	1	0.7087	sub-04_stim-commstruc_A4.jpg
78.8751	1	A5	0	1	0.75709	sub-04_stim-commstruc_A5.jpg
82.9134	1	A3	0	1	0.58098	sub-04_stim-commstruc_A3.jpg
88.9508	1	A5	0	1	0.72932	sub-04_stim-commstruc_A5.jpg
94.9882	1	B1	0	1	0.68894	sub-04_stim-commstruc_B1.jpg
97.0273	1	A5	0	1	0.55377	sub-04_stim-commstruc_A5.jpg
103.0648	1	A2	0	1	0.68539	sub-04_stim-commstruc_A2.jpg
107.1031	1	A3	0	1	0.64142	sub-04_stim-commstruc_A3.jpg
109.1422	1	A2	0	1	0.53052	sub-04_stim-commstruc_A2.jpg
113.1805	1	A4	0	1	0.65787	sub-04_stim-commstruc_A4.jpg
115.2196	1	A2	0	1	0.70142	sub-04_stim-commstruc_A2.jpg
117.2587	1	A4	0	1	0.77861	sub-04_stim-commstruc_A4.jpg
121.297	1	A2	0	1	0.80784	sub-04_stim-commstruc_A2.jpg
125.3353	1	A4	0	1	0.81706	sub-04_stim-commstruc_A4.jpg
131.3727	1	A3	0	1	0.72857	sub-04_stim-commstruc_A3.jpg
135.411	1	A2	0	1	0.55442	sub-04_stim-commstruc_A2.jpg
137.4501	1	A1	0	1	0.71758	sub-04_stim-commstruc_A1.jpg
