onset	duration	item	rotation	accuracy	reaction_time	stim_file
10.0188	1	C5	0	1	0.96351	sub-08_stim-commstruc_C5.jpg
12.058	1	C2	0	1	0.84572	sub-08_stim-commstruc_C2.jpg
16.0963	1	C3	0	0	0.98253	sub-08_stim-commstruc_C3.jpg
20.1345	1	C5	0	1	0.65735	sub-08_stim-commstruc_C5.jpg
24.1728	1	C2	0	1	0.80155	sub-08_stim-commstruc_C2.jpg
26.2119	1	C1	0	1	0.9958	sub-08_stim-commstruc_C1.jpg
32.2494	1	B5	0	1	0.9645	sub-08_stim-commstruc_B5.jpg
34.2885	1	B4	0	1	1.1256	sub-08_stim-commstruc_B4.jpg
38.3268	1	B3	0	1	0.72169	sub-08_stim-commstruc_B3.jpg
44.3642	1	B2	0	1	0.72962	sub-08_stim-commstruc_B2.jpg
50.4016	1	B1	0	1	0.91644	sub-08_stim-commstruc_B1.jpg
54.4399	1	A5	0	1	1.0414	sub-08_stim-commstruc_A5.jpg
58.4782	1	A4	0	1	1.0413	sub-08_stim-commstruc_A4.jpg
60.5173	1	A3	0	1	1.2738	sub-08_stim-commstruc_A3.jpg
66.5548	1	A2	0	1	0.79022	sub-08_stim-commstruc_A2.jpg
68.5939	1	A1	0	1	1.0295	sub-08_stim-commstruc_A1.jpg
72.6322	1	C5	0	1	0.66157	sub-08_stim-commstruc_C5.jpg
74.6713	1	C4	0	1	0.81755	sub-08_stim-commstruc_C4.jpg
80.7087	1	C3	0	1	0.98488	sub-08_stim-commstruc_C3.jpg
84.747	1	C2	0	1	0.94063	sub-08_stim-commstruc_C2.jpg
88.7853	1	C5	0	1	0.67634	sub-08_stim-commstruc_C5.jpg
90.8244	1	A1	0	1	0.71789	sub-08_stim-commstruc_A1.jpg
94.8627	1	A4	0	1	0.74386	sub-08_stim-commstruc_A4.jpg
96.9018	1	A2	90	1	0.87985	sub-08_stim-commstruc_A2.jpg
100.9401	1	A4	0	1	0.71668	sub-08_stim-commstruc_A4.jpg
106.9775	1	A1	0	1	0.96479	sub-08_stim-commstruc_A1.jpg
111.0158	1	C5	0	1	0.70509	sub-08_stim-commstruc_C5.jpg
115.0541	1	C4	0	1	0.72832	sub-08_stim-commstruc_C4.jpg
117.0932	1	C5	0	1	0.84037	sub-08_stim-commstruc_C5.jpg
119.1323	1	A1	0	1	0.77268	sub-08_stim-commstruc_A1.jpg
121.1715	1	C5	0	1	0.63744	sub-08_stim-commstruc_C5.jpg
123.2106	1	C3	0	1	0.86836	sub-08_stim-commstruc_C3.jpg
129.248	1	C4	0	1	0.64605	sub-08_stim-commstruc_C4.jpg
131.2872	1	C2	0	1	1.0334	sub-08_stim-commstruc_C2.jpg
135.3254	1	C1	0	1	0.86401	sub-08_stim-commstruc_C1.jpg
137.3646	1	B5	0	1	0.75513	sub-08_stim-commstruc_B5.jpg
141.4029	1	B4	0	1	0.93974	sub-08_stim-commstruc_B4.jpg
143.442	1	B3	0	1	0.62308	sub-08_stim-commstruc_B3.jpg
147.4803	1	B2	0	1	0.87214	sub-08_stim-commstruc_B2.jpg
151.5185	1	B1	0	1	0.81557	sub-08_stim-commstruc_B1.jpg
153.5577	1	A5	0	1	0.88077	sub-08_stim-commstruc_A5.jpg
159.5951	1	A4	0	1	0.8284	sub-08_stim-commstruc_A4.jpg
161.6342	1	A3	0	1	0.84483	sub-08_stim-commstruc_A3.jpg
163.6734	1	A2	0	1	0.80579	sub-08_stim-commstruc_A2.jpg
167.7117	1	A1	0	1	0.59312	sub-08_stim-commstruc_A1.jpg
169.7508	1	C5	0	1	0.56918	sub-08_stim-commstruc_C5.jpg
171.7899	1	C4	0	1	0.75982	sub-08_stim-commstruc_C4.jpg
173.829	1	C3	0	1	0.63556	sub-08_stim-commstruc_C3.jpg
175.8682	1	C2	90	0	0.84512	sub-08_stim-commstruc_C2.jpg
179.9065	1	C1	0	1	0.6547	sub-08_stim-commstruc_C1.jpg
