onset	duration	item	rotation	accuracy	reaction_time	stim_file
10.024	1	A3	0	0	1.1333	sub-03_stim-commstruc_A3.jpg
14.0623	1	A2	0	0	0.69533	sub-03_stim-commstruc_A2.jpg
18.1005	1	A1	0	0	0.93419	sub-03_stim-commstruc_A1.jpg
20.1397	1	C5	0	0	0.66393	sub-03_stim-commstruc_C5.jpg
24.1779	1	C4	90	0	1.1775	sub-03_stim-commstruc_C4.jpg
30.2154	1	C3	0	0	0.77266	sub-03_stim-commstruc_C3.jpg
32.2545	1	C2	0	0	1.0847	sub-03_stim-commstruc_C2.jpg
34.2936	1	C1	0	n/a	n/a	sub-03_stim-commstruc_C1.jpg
38.3319	1	B5	0	0	0.75977	sub-03_stim-commstruc_B5.jpg
44.3693	1	B4	0	0	1.0364	sub-03_stim-commstruc_B4.jpg
48.4076	1	B3	0	0	0.82174	sub-03_stim-commstruc_B3.jpg
52.4459	1	B2	0	0	0.72417	sub-03_stim-commstruc_B2.jpg
58.4833	1	B5	0	0	0.65609	sub-03_stim-commstruc_B5.jpg
64.5208	1	B4	0	0	0.8182	sub-03_stim-commstruc_B4.jpg
68.5591	1	B5	0	0	0.62007	sub-03_stim-commstruc_B5.jpg
72.5973	1	B2	0	0	0.63137	sub-03_stim-commstruc_B2.jpg
78.6348	1	B4	0	0	0.74544	sub-03_stim-commstruc_B4.jpg
80.6739	1	B5	0	0	0.64844	sub-03_stim-commstruc_B5.jpg
82.713	1	B3	0	0	0.62042	sub-03_stim-commstruc_B3.jpg
84.7521	1	B4	0	0	0.9797	sub-03_stim-commstruc_B4.jpg
86.7913	1	B3	90	1	0.99638	sub-03_stim-commstruc_B3.jpg
90.8296	1	B2	90	0	1.1919	sub-03_stim-commstruc_B2.jpg
94.8678	1	B4	90	0	0.88219	sub-03_stim-commstruc_B4.jpg
96.907	1	B1	0	0	1.2732	sub-03_stim-commstruc_B1.jpg
98.9461	1	B3	90	0	0.81707	sub-03_stim-commstruc_B3.jpg
102.9844	1	B2	0	0	0.90601	sub-03_stim-commstruc_B2.jpg
109.0218	1	B1	0	0	0.9187	sub-03_stim-commstruc_B1.jpg
111.0609	1	A5	90	0	1.0807	sub-03_stim-commstruc_A5.jpg
117.0984	1	A4	0	0	0.77747	sub-03_stim-commstruc_A4.jpg
119.1375	1	A3	0	0	0.72161	sub-03_stim-commstruc_A3.jpg
125.1749	1	A2	0	0	0.7493	sub-03_stim-commstruc_A2.jpg
127.2141	1	A1	0	0	0.90014	sub-03_stim-commstruc_A1.jpg
133.2515	1	C5	0	0	0.84755	sub-03_stim-commstruc_C5.jpg
135.2906	1	C4	0	0	0.91254	sub-03_stim-commstruc_C4.jpg
137.3298	1	C3	0	0	0.80389	sub-03_stim-commstruc_C3.jpg
143.3672	1	C2	0	0	0.94199	sub-03_stim-commstruc_C2.jpg
149.4046	1	C1	0	0	0.9581	sub-03_stim-commstruc_C1.jpg
153.4429	1	B5	0	0	0.63935	sub-03_stim-commstruc_B5.jpg
155.482	1	B4	0	0	0.78461	sub-03_stim-commstruc_B4.jpg
159.5203	1	B3	0	n/a	n/a	sub-03_stim-commstruc_B3.jpg
165.5577	1	B2	0	0	0.64722	sub-03_stim-commstruc_B2.jpg
167.5969	1	B3	0	0	0.73685	sub-03_stim-commstruc_B3.jpg
173.6343	1	B5	0	0	0.75358	sub-03_stim-commstruc_B5.jpg
177.6726	1	C1	0	0	1.0929	sub-03_stim-commstruc_C1.jpg
183.71	1	C4	0	0	0.81464	sub-03_stim-commstruc_C4.jpg
