onset	duration	item	rotation	accuracy	reaction_time	stim_file
10.1001	1	B1	0	n/a	n/a	sub-05_stim-commstruc_B1.jpg
12.1525	1	B2	0	1	0.71448	sub-05_stim-commstruc_B2.jpg
16.1908	1	B3	0	1	0.77995	sub-05_stim-commstruc_B3.jpg
22.2282	1	B5	90	1	0.98587	sub-05_stim-commstruc_B5.jpg
24.2674	1	B4	0	1	0.92246	sub-05_stim-commstruc_B4.jpg
28.3056	1	B5	90	1	0.89846	sub-05_stim-commstruc_B5.jpg
32.3439	1	B2	0	1	0.75594	sub-05_stim-commstruc_B2.jpg
36.3822	1	B4	0	1	0.717	sub-05_stim-commstruc_B4.jpg
38.4213	1	B2	0	1	0.70915	sub-05_stim-commstruc_B2.jpg
42.5129	1	B4	0	1	0.70592	sub-05_stim-commstruc_B4.jpg
44.552	1	B1	0	1	1.1404	sub-05_stim-commstruc_B1.jpg
48.5903	1	B2	0	1	0.64482	sub-05_stim-commstruc_B2.jpg
50.6428	1	B5	0	0	0.87193	sub-05_stim-commstruc_B5.jpg
56.6802	1	B3	0	1	1.1875	sub-05_stim-commstruc_B3.jpg
60.7185	1	B1	90	0	0.81559	sub-05_stim-commstruc_B1.jpg
64.7568	1	B2	0	1	0.65755	sub-05_stim-commstruc_B2.jpg
66.7959	1	B3	0	1	0.89461	sub-05_stim-commstruc_B3.jpg
68.835	1	B4	0	1	0.594	sub-05_stim-commstruc_B4.jpg
70.8742	1	B5	0	1	0.84362	sub-05_stim-commstruc_B5.jpg
74.9124	1	C1	0	1	0.81958	sub-05_stim-commstruc_C1.jpg
78.9507	1	C2	0	1	0.73297	sub-05_stim-commstruc_C2.jpg
80.9898	1	C3	0	1	0.98453	sub-05_stim-commstruc_C3.jpg
85.0281	1	C4	0	1	1.1359	sub-05_stim-commstruc_C4.jpg
89.0664	1	C5	0	1	0.80375	sub-05_stim-commstruc_C5.jpg
95.1038	1	A1	0	1	0.86079	sub-05_stim-commstruc_A1.jpg
99.1421	1	A2	0	1	0.95752	sub-05_stim-commstruc_A2.jpg
105.1795	1	A3	90	0	1.0294	sub-05_stim-commstruc_A3.jpg
111.217	1	A4	0	1	1.1801	sub-05_stim-commstruc_A4.jpg
117.2544	1	A5	0	1	0.87842	sub-05_stim-commstruc_A5.jpg
119.2935	1	B1	0	1	0.69302	sub-05_stim-commstruc_B1.jpg
121.3327	1	B3	0	1	0.63073	sub-05_stim-commstruc_B3.jpg
123.3718	1	B5	0	1	0.6412	sub-05_stim-commstruc_B5.jpg
127.4101	1	B3	0	1	0.66555	sub-05_stim-commstruc_B3.jpg
133.4475	1	B1	0	1	0.74156	sub-05_stim-commstruc_B1.jpg
137.4858	1	A5	0	1	0.68008	sub-05_stim-commstruc_A5.jpg
143.5232	1	A2	0	1	0.89916	sub-05_stim-commstruc_A2.jpg
149.5606	1	A5	0	1	0.7242	sub-05_stim-commstruc_A5.jpg
153.5989	1	A3	0	1	0.64497	sub-05_stim-commstruc_A3.jpg
155.638	1	A5	0	1	0.98168	sub-05_stim-commstruc_A5.jpg
159.6763	1	A3	0	1	0.64863	sub-05_stim-commstruc_A3.jpg
163.7146	1	A1	90	0	0.84815	sub-05_stim-commstruc_A1.jpg
167.7529	1	C5	90	0	0.83406	sub-05_stim-commstruc_C5.jpg
171.7912	1	C2	0	1	0.77961	sub-05_stim-commstruc_C2.jpg
175.8294	1	C3	0	1	0.85604	sub-05_stim-commstruc_C3.jpg
177.8686	1	C5	0	1	1.0969	sub-05_stim-commstruc_C5.jpg
181.9069	1	C4	0	1	0.83422	sub-05_stim-commstruc_C4.jpg
183.946	1	C3	90	0	0.70641	sub-05_stim-commstruc_C3.jpg
185.9851	1	C2	90	1	1.0373	sub-05_stim-commstruc_C2.jpg
192.0225	1	C1	0	1	0.87721	sub-05_stim-commstruc_C1.jpg
194.0617	1	B5	0	1	0.79765	sub-05_stim-commstruc_B5.jpg
198.1	1	B4	0	1	0.79855	sub-05_stim-commstruc_B4.jpg
202.1382	1	B3	0	1	1.0413	sub-05_stim-commstruc_B3.jpg
208.1757	1	B2	0	1	0.69947	sub-05_stim-commstruc_B2.jpg
212.214	1	B1	0	1	0.78188	sub-05_stim-commstruc_B1.jpg
218.2514	1	A5	0	1	0.76249	sub-05_stim-commstruc_A5.jpg
220.2905	1	A4	0	1	1.2162	sub-05_stim-commstruc_A4.jpg
222.3296	1	A3	0	1	0.73037	sub-05_stim-commstruc_A3.jpg
228.3671	1	A2	0	1	0.86887	sub-05_stim-commstruc_A2.jpg
232.4054	1	A1	0	1	0.93405	sub-05_stim-commstruc_A1.jpg
236.4436	1	C5	0	1	0.72717	sub-05_stim-commstruc_C5.jpg
238.4827	1	C2	0	1	0.81699	sub-05_stim-commstruc_C2.jpg
240.5219	1	C5	0	1	0.64999	sub-05_stim-commstruc_C5.jpg
242.561	1	C4	90	1	1.0296	sub-05_stim-commstruc_C4.jpg
248.5985	1	C2	0	1	0.75654	sub-05_stim-commstruc_C2.jpg
252.6367	1	C4	0	1	0.76849	sub-05_stim-commstruc_C4.jpg
256.675	1	C5	0	1	0.72198	sub-05_stim-commstruc_C5.jpg
258.7141	1	C4	0	1	0.81686	sub-05_stim-commstruc_C4.jpg
262.7524	1	C3	0	1	0.81247	sub-05_stim-commstruc_C3.jpg
266.7907	1	C1	0	1	0.65387	sub-05_stim-commstruc_C1.jpg
268.8298	1	C4	0	1	0.70274	sub-05_stim-commstruc_C4.jpg
272.8681	1	C2	0	1	0.67325	sub-05_stim-commstruc_C2.jpg
274.9072	1	C4	0	1	0.73744	sub-05_stim-commstruc_C4.jpg
278.9455	1	C2	0	1	0.64151	sub-05_stim-commstruc_C2.jpg
280.9846	1	C5	0	1	0.78053	sub-05_stim-commstruc_C5.jpg
283.0238	1	C3	0	1	0.78188	sub-05_stim-commstruc_C3.jpg
285.0629	1	C2	0	1	0.62222	sub-05_stim-commstruc_C2.jpg
289.1012	1	C1	0	1	0.87301	sub-05_stim-commstruc_C1.jpg
293.1395	1	B5	0	1	0.71385	sub-05_stim-commstruc_B5.jpg
295.1786	1	B4	0	1	0.77699	sub-05_stim-commstruc_B4.jpg
297.2177	1	B3	0	1	1.1887	sub-05_stim-commstruc_B3.jpg
299.2569	1	B2	0	1	0.59608	sub-05_stim-commstruc_B2.jpg
305.2943	1	B1	0	1	0.77493	sub-05_stim-commstruc_B1.jpg
307.3334	1	A5	0	1	0.74402	sub-05_stim-commstruc_A5.jpg
313.3709	1	A4	0	1	0.80029	sub-05_stim-commstruc_A4.jpg
317.4091	1	A3	0	1	0.82059	sub-05_stim-commstruc_A3.jpg
323.4466	1	A2	0	1	0.85284	sub-05_stim-commstruc_A2.jpg
329.484	1	A1	0	1	0.89587	sub-05_stim-commstruc_A1.jpg
333.5223	1	C5	0	1	0.71476	sub-05_stim-commstruc_C5.jpg
337.5605	1	C4	0	1	0.78928	sub-05_stim-commstruc_C4.jpg
341.5988	1	C3	0	1	0.74153	sub-05_stim-commstruc_C3.jpg
343.638	1	C4	0	1	0.96029	sub-05_stim-commstruc_C4.jpg
349.6754	1	C5	0	1	0.65844	sub-05_stim-commstruc_C5.jpg
351.7145	1	C2	0	1	1.0413	sub-05_stim-commstruc_C2.jpg
355.7528	1	C4	0	1	0.62603	sub-05_stim-commstruc_C4.jpg
361.7902	1	C3	0	1	0.78838	sub-05_stim-commstruc_C3.jpg
365.8285	1	C4	0	1	0.68171	sub-05_stim-commstruc_C4.jpg
369.8668	1	C5	0	1	0.64372	sub-05_stim-commstruc_C5.jpg
375.9042	1	C4	90	1	0.88264	sub-05_stim-commstruc_C4.jpg
379.9425	1	C2	90	1	0.80438	sub-05_stim-commstruc_C2.jpg
