onset	duration	item	rotation	accuracy	reaction_time	stim_file
10.0181	1	B1	0	1	0.8703	sub-19_stim-commstruc_B1.jpg
12.0572	1	B3	0	1	0.79175	sub-19_stim-commstruc_B3.jpg
16.0955	1	B4	0	1	0.71368	sub-19_stim-commstruc_B4.jpg
20.1338	1	B3	0	1	0.76865	sub-19_stim-commstruc_B3.jpg
22.1729	1	B2	0	1	0.71319	sub-19_stim-commstruc_B2.jpg
26.2112	1	B1	0	1	0.64461	sub-19_stim-commstruc_B1.jpg
28.2503	1	A5	0	1	0.79839	sub-19_stim-commstruc_A5.jpg
30.2894	1	A4	0	1	0.82326	sub-19_stim-commstruc_A4.jpg
34.3277	1	A3	0	1	1.1682	sub-19_stim-commstruc_A3.jpg
36.3668	1	A2	0	1	0.76856	sub-19_stim-commstruc_A2.jpg
38.406	1	A1	0	1	0.94561	sub-19_stim-commstruc_A1.jpg
44.4434	1	C5	0	1	0.72444	sub-19_stim-commstruc_C5.jpg
50.4808	1	C4	90	1	0.99951	sub-19_stim-commstruc_C4.jpg
54.5191	1	C3	0	1	0.80717	sub-19_stim-commstruc_C3.jpg
56.5582	1	C2	0	1	0.83215	sub-19_stim-commstruc_C2.jpg
62.5957	1	C1	0	1	0.98801	sub-19_stim-commstruc_C1.jpg
64.6348	1	B5	0	1	0.81906	sub-19_stim-commstruc_B5.jpg
70.6722	1	B4	0	1	0.77314	sub-19_stim-commstruc_B4.jpg
76.7096	1	B3	0	1	1.0504	sub-19_stim-commstruc_B3.jpg
78.7488	1	B2	0	1	0.86582	sub-19_stim-commstruc_B2.jpg
82.7871	1	B5	0	1	0.79825	sub-19_stim-commstruc_B5.jpg
86.8253	1	B3	0	1	0.65554	sub-19_stim-commstruc_B3.jpg
88.8645	1	B4	0	1	0.75232	sub-19_stim-commstruc_B4.jpg
94.9019	1	B5	0	1	0.76342	sub-19_stim-commstruc_B5.jpg
96.941	1	B2	0	1	0.72384	sub-19_stim-commstruc_B2.jpg
100.9793	1	B3	0	1	0.71519	sub-19_stim-commstruc_B3.jpg
107.23	1	B5	0	1	0.70715	sub-19_stim-commstruc_B5.jpg
113.2674	1	B3	0	1	0.66688	sub-19_stim-commstruc_B3.jpg
117.3057	1	B5	0	1	0.57184	sub-19_stim-commstruc_B5.jpg
121.344	1	B3	0	1	0.67212	sub-19_stim-commstruc_B3.jpg
123.3831	1	B4	0	1	0.71424	sub-19_stim-commstruc_B4.jpg
125.4222	1	B5	0	1	0.67276	sub-19_stim-commstruc_B5.jpg
129.4605	1	B3	0	1	0.66039	sub-19_stim-commstruc_B3.jpg
133.4988	1	B1	0	1	0.63618	sub-19_stim-commstruc_B1.jpg
